# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       7.520812461663e+00       5.176090337197e+03       8.440429152177e-01       2.340120171128e-05       9.499698037610e-01       2.223043499743e-05       4.489843274831e+00      -7.154612818768e-13       4.073965564170e-04 
       7.547619600033e+00       5.167574207856e+03       8.238526323394e-01       2.298537130945e-05       9.497822149768e-01       2.183109687436e-05       4.396475790275e+00      -7.303682271754e-13       4.099188707943e-04 
       7.572281506574e+00       5.159774790496e+03       8.042408301230e-01       2.256787067294e-05       9.496135283141e-01       2.143075529627e-05       4.310158295178e+00      -7.415227890064e-13       4.121942968216e-04 
       7.595160390800e+00       5.152569216954e+03       7.851739983718e-01       2.215060014318e-05       9.494605646776e-01       2.103112131989e-05       4.229836563282e+00      -7.495249579878e-13       4.142637163891e-04 
       7.616533491586e+00       5.145863757914e+03       7.666240176501e-01       2.173497773510e-05       9.493208886244e-01       2.063346837771e-05       4.154689808763e+00      -7.548513422015e-13       4.161585352527e-04 
       7.636617854882e+00       5.139585258621e+03       7.485667368557e-01       2.132207909982e-05       9.491925919211e-01       2.023875952590e-05       4.084065182050e+00      -7.578875851891e-13       4.179034240240e-04 
       7.655586665413e+00       5.133675514070e+03       7.309810097957e-01       2.091273000551e-05       9.490741508292e-01       1.984773147150e-05       4.017433977307e+00      -7.589505642489e-13       4.195181297413e-04 
       7.673580373823e+00       5.128087444781e+03       7.138480225306e-01       2.050756954014e-05       9.489643287417e-01       1.946095196278e-05       3.954361396117e+00      -7.583040828689e-13       4.210187145402e-04 
       7.690714494581e+00       5.122782424604e+03       6.971508112018e-01       2.010709455840e-05       9.488621079233e-01       1.907886012690e-05       3.894485089357e+00      -7.561702544545e-13       4.224184258545e-04 
       7.707085205167e+00       5.117728368018e+03       6.808739082645e-01       1.971169171435e-05       9.487666404913e-01       1.870179552622e-05       3.837499563651e+00      -7.527379109379e-13       4.237283225171e-04 
       7.722773452358e+00       5.112898329285e+03       6.650030776473e-01       1.932166104564e-05       9.486772124176e-01       1.833001954006e-05       3.783144615382e+00      -7.481689464765e-13       4.249577354126e-04 
       7.737848020118e+00       5.108269457988e+03       6.495251128772e-01       1.893723366568e-05       9.485932166180e-01       1.796373139677e-05       3.731196596033e+00      -7.426031935517e-13       4.261146124532e-04 
