# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  128       4.774534643182e-10       1.430913626012e-13      -5.274781399377e-12       0.000000000000e+00       5.556716193708e-12       9.040175630486e-13      -5.509690655320e-15 
  129       4.819840358869e-10       1.438135175252e-13      -5.336084379033e-12       0.000000000000e+00       5.437863781419e-12       8.888748680665e-13      -5.428354229659e-15 
  130       4.865159747825e-10       1.444732334011e-13      -5.395415780364e-12       0.000000000000e+00       5.321960995529e-12       8.740582635227e-13      -5.350363018870e-15 
  131       4.910484645850e-10       1.450699102979e-13      -5.452710444705e-12       0.000000000000e+00       5.209019144027e-12       8.595689884672e-13      -5.275527095902e-15 
  132       4.955806303557e-10       1.456030141328e-13      -5.507903829859e-12       0.000000000000e+00       5.099036425232e-12       8.454066207921e-13      -5.203631958092e-15 
  133       5.001115370695e-10       1.460720783558e-13      -5.560932047872e-12       0.000000000000e+00       4.991997564013e-12       8.315690307684e-13      -5.134437956699e-15 
  134       5.046401880485e-10       1.464767056354e-13      -5.611731902812e-12       0.000000000000e+00       4.887873448003e-12       8.180523345822e-13      -5.067679726437e-15 
  135       5.091655233945e-10       1.468165695439e-13      -5.660240928541e-12       0.000000000000e+00       4.786620763823e-12       8.048508478720e-13      -5.003065615007e-15 
  136       5.136864184218e-10       1.470914162424e-13      -5.706397426495e-12       0.000000000000e+00       4.688181633292e-12       7.919570392651e-13      -4.940277112632e-15 
  137       5.182016820904e-10       1.473010661667e-13      -5.750140503456e-12       0.000000000000e+00       4.592483249652e-12       7.793614839144e-13      -4.878968281590e-15 
  138       5.227100554387e-10       1.474454157121e-13      -5.791410109327e-12       0.000000000000e+00       4.499437513782e-12       7.670528170351e-13      -4.818765185743e-15 
  139       5.272102100166e-10       1.475244389192e-13      -5.830147074913e-12       0.000000000000e+00       4.408940670414e-12       7.550176874415e-13      -4.759265320075e-15 
  140       5.317007463180e-10       1.475381891587e-13      -5.866293149692e-12       0.000000000000e+00       4.320872944356e-12       7.432407110837e-13      -4.700037040224e-15 
  141       5.361801922141e-10       1.474868008171e-13      -5.899791039590e-12       0.000000000000e+00       4.235098176703e-12       7.317044245842e-13      -4.640618992012e-15 
  142       5.406470013863e-10       1.473704909820e-13      -5.930584444762e-12       0.000000000000e+00       4.151463461062e-12       7.203892387748e-13      -4.580519540981e-15 
  143       5.450995517588e-10       1.471895611273e-13      -5.958618097364e-12       0.000000000000e+00       4.069798779764e-12       7.092733922331e-13      -4.519216201926e-15 
  144       5.495362764838e-10       1.469444090395e-13      -5.983838129850e-12       0.000000000000e+00       3.989952652143e-12       6.983378844461e-13      -4.456270757387e-15 
  145       5.539560747590e-10       1.466355623639e-13      -6.006193141049e-12       0.000000000000e+00       3.911903808269e-12       6.875819215166e-13      -4.391688608393e-15 
  146       5.583579387206e-10       1.462636515848e-13      -6.025633307487e-12       0.000000000000e+00       3.835659884468e-12       6.770089119613e-13      -4.325593931385e-15 
  147       5.627408237303e-10       1.458294018100e-13      -6.042110101631e-12       0.000000000000e+00       3.761222244437e-12       6.666216061307e-13      -4.258117264006e-15 
  148       5.671036475691e-10       1.453336345155e-13      -6.055576331559e-12       0.000000000000e+00       3.688585822424e-12       6.564220783650e-13      -4.189395599514e-15 
  149       5.714452896330e-10       1.447772692893e-13      -6.065986180640e-12       0.000000000000e+00       3.617738966412e-12       6.464117091491e-13      -4.119572481191e-15 
  150       5.757645901269e-10       1.441613255755e-13      -6.073295247206e-12       0.000000000000e+00       3.548663281305e-12       6.365911672679e-13      -4.048798096760e-15 
  151       5.800603492598e-10       1.434869244189e-13      -6.077460584227e-12       0.000000000000e+00       3.481333472109e-12       6.269603919617e-13      -3.977229372792e-15 
  152       5.843313264391e-10       1.427552902087e-13      -6.078440738991e-12       0.000000000000e+00       3.415717187117e-12       6.175185750814e-13      -3.905030069121e-15 
  153       5.885762394658e-10       1.419677524232e-13      -6.076195792771e-12       0.000000000000e+00       3.351774861093e-12       6.082641432435e-13      -3.832370873256e-15 
  154       5.927937637285e-10       1.411257473734e-13      -6.070687400509e-12       0.000000000000e+00       3.289459558455e-12       5.991947399859e-13      -3.759429494793e-15 
  155       5.969825313989e-10       1.402308199476e-13      -6.061878830486e-12       0.000000000000e+00       3.228716816456e-12       5.903072079226e-13      -3.686390759826e-15 
  156       6.011411306258e-10       1.392846253557e-13      -6.049735003998e-12       0.000000000000e+00       3.169484488372e-12       5.815975708995e-13      -3.613446705360e-15 
  157       6.052681047301e-10       1.382889308728e-13      -6.034222535033e-12       0.000000000000e+00       3.111692586684e-12       5.730610161490e-13      -3.540796673725e-15 
  158       6.093619513996e-10       1.372456175840e-13      -6.015309769944e-12       0.000000000000e+00       3.055263126259e-12       5.646918764462e-13      -3.468647406983e-15 
  159       6.134211218834e-10       1.361566821282e-13      -5.992966827127e-12       0.000000000000e+00       3.000109967539e-12       5.564836122631e-13      -3.397213141345e-15 
  160       6.174440201870e-10       1.350242384425e-13      -5.967165636693e-12       0.000000000000e+00       2.946138659718e-12       5.484287939247e-13      -3.326715701582e-15 
  161       6.214291146970e-10       1.338504712188e-13      -5.937879880094e-12       0.000000000000e+00       2.893265793892e-12       5.405207277378e-13      -3.257343516051e-15 
  162       6.253752858410e-10       1.326374879878e-13      -5.905084719692e-12       0.000000000000e+00       2.841479315002e-12       5.327585334439e-13      -3.189124390530e-15 
  163       6.292815077764e-10       1.313874572268e-13      -5.868757120992e-12       0.000000000000e+00       2.790783268566e-12       5.251424837652e-13      -3.122041611497e-15 
  164       6.331467384393e-10       1.301026569807e-13      -5.828875989440e-12       0.000000000000e+00       2.741178703892e-12       5.176723906160e-13      -3.056073919761e-15 
  165       6.369699192569e-10       1.287854763844e-13      -5.785422209641e-12       0.000000000000e+00       2.692663607028e-12       5.103475948210e-13      -2.991195415884e-15 
  166       6.407499748586e-10       1.274384171839e-13      -5.738378684577e-12       0.000000000000e+00       2.645232833708e-12       5.031669558350e-13      -2.927375465583e-15 
  167       6.444858127889e-10       1.260640952592e-13      -5.687730374814e-12       0.000000000000e+00       2.598878042294e-12       4.961288414614e-13      -2.864578605145e-15 
  168       6.481763232190e-10       1.246652421459e-13      -5.633464337725e-12       0.000000000000e+00       2.553587626730e-12       4.892311175714e-13      -2.802764446838e-15 
  169       6.518203786584e-10       1.232447065573e-13      -5.575569766700e-12       0.000000000000e+00       2.509346649481e-12       4.824711378228e-13      -2.741887584323e-15 
  170       6.554168336676e-10       1.218054559063e-13      -5.514038030363e-12       0.000000000000e+00       2.466136774486e-12       4.758457333791e-13      -2.681897498061e-15 
  171       6.589645245695e-10       1.203505778279e-13      -5.448862711788e-12       0.000000000000e+00       2.423936200098e-12       4.693512026287e-13      -2.622738460729e-15 
  172       6.624622691615e-10       1.188832817004e-13      -5.380039647709e-12       0.000000000000e+00       2.382719592036e-12       4.629833009035e-13      -2.564349442628e-15 
  173       6.659088664278e-10       1.174069001681e-13      -5.307566967742e-12       0.000000000000e+00       2.342458016329e-12       4.567372301981e-13      -2.506664017093e-15 
  174       6.693030962510e-10       1.159248906632e-13      -5.231445133594e-12       0.000000000000e+00       2.303118872262e-12       4.506076288885e-13      -2.449610265909e-15 
  175       6.726437191240e-10       1.144408369275e-13      -5.151676978280e-12       0.000000000000e+00       2.264665825324e-12       4.445885614518e-13      -2.393110684716e-15 
  176       6.759294758625e-10       1.129584505348e-13      -5.068267745340e-12       0.000000000000e+00       2.227058740153e-12       4.386735081842e-13      -2.337082088426e-15 
