# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.045e-06 to 1.08254 h/Mpc,
# number of wavenumbers equal to 603
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       6.883495520976e-03       1.899581115418e-01      -3.662652172351e+02      -3.664426598987e+02       1.935227230141e-01      -3.663075401891e+02       4.027398978074e-01       4.027398978074e-01 
       7.009796388576e-03       1.892955891985e-01      -3.785014816314e+02      -3.786890071992e+02       1.928477716750e-01      -3.785487316425e+02       4.013357327619e-01       4.013357327619e-01 
       7.136198195524e-03       1.886341689948e-01      -3.909010338780e+02      -3.910991045225e+02       1.921739427328e-01      -3.909535535470e+02       3.999338594145e-01       3.999338594145e-01 
       7.262696432979e-03       1.879739078844e-01      -4.034616140058e+02      -4.036707074785e+02       1.915012942341e-01      -4.035197597621e+02       3.985344013763e-01       3.985344013763e-01 
       7.389286897843e-03       1.873148595453e-01      -4.161809831082e+02      -4.164015898178e+02       1.908298808985e-01      -4.162451227347e+02       3.971374758354e-01       3.971374758354e-01 
       7.515965669282e-03       1.866570705432e-01      -4.290569139504e+02      -4.292895343623e+02       1.901597502073e-01      -4.291274243823e+02       3.957431853088e-01       3.957431853088e-01 
       7.642729087380e-03       1.860005861749e-01      -4.420872026656e+02      -4.423323448103e+02       1.894909483528e-01      -4.421644678784e+02       3.943516297348e-01       3.943516297348e-01 
       7.769573733681e-03       1.853454489672e-01      -4.552696644268e+02      -4.555278422364e+02       1.888235187052e-01      -4.553540740246e+02       3.929629030532e-01       3.929629030532e-01 
       7.896496413465e-03       1.846916952443e-01      -4.686021230998e+02      -4.688738559020e+02       1.881574983120e-01      -4.686940718855e+02       3.915770856785e-01       3.915770856785e-01 
       8.023494139551e-03       1.840393603992e-01      -4.820824224696e+02      -4.823682351808e+02       1.874929232659e-01      -4.821823106020e+02       3.901942555879e-01       3.901942555879e-01 
       8.150564117511e-03       1.833884776994e-01      -4.957084219701e+02      -4.960088463165e+02       1.868298274848e-01      -4.958166559911e+02       3.888144855314e-01       3.888144855314e-01 
       8.277703732132e-03       1.827390745075e-01      -5.094779849122e+02      -5.097935617629e+02       1.861682388617e-01      -5.095949797176e+02       3.874378351309e-01       3.874378351309e-01 
       8.404910535030e-03       1.820911782360e-01      -5.233889932749e+02      -5.237202751056e+02       1.855081853305e-01      -5.235151741905e+02       3.860643634173e-01       3.860643634173e-01 
       8.532182233289e-03       1.814448130556e-01      -5.374393380961e+02      -5.377868919288e+02       1.848496915141e-01      -5.375751433593e+02       3.846941219899e-01       3.846941219899e-01 
       8.659516679040e-03       1.807999987961e-01      -5.516269152170e+02      -5.519913255477e+02       1.841927776063e-01      -5.517727984496e+02       3.833271528147e-01       3.833271528147e-01 
       8.786911859892e-03       1.801567553276e-01      -5.659496383066e+02      -5.663315092633e+02       1.835374638377e-01      -5.661060703331e+02       3.819634976785e-01       3.819634976785e-01 
       8.914365890133e-03       1.795151010763e-01      -5.804054351522e+02      -5.808053920715e+02       1.828837689667e-01      -5.805729053278e+02       3.806031952348e-01       3.806031952348e-01 
       9.041877002635e-03       1.788750491149e-01      -5.949922351968e+02      -5.954109255824e+02       1.822317062993e-01      -5.951712522170e+02       3.792462729540e-01       3.792462729540e-01 
       9.169443541404e-03       1.782366140812e-01      -6.097079922619e+02      -6.101460853019e+02       1.815812907394e-01      -6.098990837476e+02       3.778927617941e-01       3.778927617941e-01 
       9.297063954705e-03       1.775998080253e-01      -6.245506719555e+02      -6.250088573759e+02       1.809325345603e-01      -6.247543834805e+02       3.765426876545e-01       3.765426876545e-01 
       9.424736788730e-03       1.769646410642e-01      -6.395182536351e+02      -6.399972398097e+02       1.802854480719e-01      -6.397351471247e+02       3.751960726879e-01       3.751960726879e-01 
       9.552460681750e-03       1.763311214868e-01      -6.546087306087e+02      -6.551092421229e+02       1.796400397279e-01      -6.548393822772e+02       3.738529355213e-01       3.738529355213e-01 
       9.680234358705e-03       1.756992587721e-01      -6.698201212389e+02      -6.703428960123e+02       1.789963191994e-01      -6.700651191507e+02       3.725132975727e-01       3.725132975727e-01 
       9.808056626218e-03       1.750690613733e-01      -6.851504607766e+02      -6.856962474844e+02       1.783542951170e-01      -6.854104026619e+02       3.711771783122e-01       3.711771783122e-01 
       9.935926367967e-03       1.744405346471e-01      -7.005977918524e+02      -7.011673479816e+02       1.777139729582e-01      -7.008732834628e+02       3.698445906787e-01       3.698445906787e-01 
       1.006384254041e-02       1.738136836634e-01      -7.161601742054e+02      -7.167542644999e+02       1.770753579093e-01      -7.164518279947e+02       3.685155469870e-01       3.685155469870e-01 
       1.019180416883e-02       1.731885141703e-01      -7.318356878312e+02      -7.324550835736e+02       1.764384558460e-01      -7.321441223425e+02       3.671900608727e-01       3.671900608727e-01 
       1.031981034365e-02       1.725650321058e-01      -7.476224303687e+02      -7.482679094907e+02       1.758032728344e-01      -7.479482703226e+02       3.658681461328e-01       3.658681461328e-01 
       1.044786021702e-02       1.719432393330e-01      -7.635184971723e+02      -7.641908456564e+02       1.751698107854e-01      -7.638623746521e+02       3.645498076561e-01       3.645498076561e-01 
       1.057595299970e-02       1.713231376460e-01      -7.795219970094e+02      -7.802220106138e+02       1.745380715346e-01      -7.798845529147e+02       3.632350498689e-01       3.632350498689e-01 
       1.070408795807e-02       1.707047307716e-01      -7.956310611684e+02      -7.963595474108e+02       1.739080588822e-01      -7.960129468851e+02       3.619238809960e-01       3.619238809960e-01 
       1.083226441146e-02       1.700880198579e-01      -8.118438225452e+02      -8.126016033224e+02       1.732797739965e-01      -8.122457021584e+02       3.606163035382e-01       3.606163035382e-01 
       1.096048172958e-02       1.694730048220e-01      -8.281584211485e+02      -8.289463350657e+02       1.726532167883e-01      -8.285809734090e+02       3.593123171765e-01       3.593123171765e-01 
       1.108873933017e-02       1.688596841093e-01      -8.445730026120e+02      -8.453919070511e+02       1.720283856668e-01      -8.450169226823e+02       3.580119183484e-01       3.580119183484e-01 
       1.121703667686e-02       1.682480587013e-01      -8.610857389639e+02      -8.619365110869e+02       1.714052816241e-01      -8.615517392584e+02       3.567151088244e-01       3.567151088244e-01 
       1.134537327707e-02       1.676381260269e-01      -8.776947984166e+02      -8.785783361355e+02       1.707839020328e-01      -8.781836094225e+02       3.554218828657e-01       3.554218828657e-01 
       1.147374868017e-02       1.670298846939e-01      -8.943983700070e+02      -8.953155915557e+02       1.701642454682e-01      -8.949107399162e+02       3.541322373194e-01       3.541322373194e-01 
       1.160216247571e-02       1.664233310164e-01      -9.111946455675e+02      -9.121464888982e+02       1.695463081710e-01      -9.117313397659e+02       3.528461642991e-01       3.528461642991e-01 
       1.173061429178e-02       1.658184636860e-01      -9.280818455949e+02      -9.290692665921e+02       1.689300888064e-01      -9.286436451445e+02       3.515636611046e-01       3.515636611046e-01 
       1.185910379347e-02       1.652152790950e-01      -9.450581938674e+02      -9.460821646866e+02       1.683155837005e-01      -9.456458941018e+02       3.502847203062e-01       3.502847203062e-01 
       1.198763068149e-02       1.646137737749e-01      -9.621219306552e+02      -9.631834376156e+02       1.677027893231e-01      -9.627363393935e+02       3.490093348908e-01       3.490093348908e-01 
       1.211619469084e-02       1.640139468731e-01      -9.792713275590e+02      -9.803713690185e+02       1.670917048114e-01      -9.799132633015e+02       3.477375034796e-01       3.477375034796e-01 
       1.224479558958e-02       1.634157946171e-01      -9.965046545574e+02      -9.976442396309e+02       1.664823263288e-01      -9.971749454023e+02       3.464692185411e-01       3.464692185411e-01 
       1.237343317769e-02       1.628193143618e-01      -1.013820203224e+03      -1.015000350550e+03       1.658746511879e-01      -1.014519685820e+03       3.452044749285e-01       3.452044749285e-01 
       1.250210728602e-02       1.622245030481e-01      -1.031216276770e+03      -1.032438014160e+03       1.652686762789e-01      -1.031945796014e+03       3.439432665669e-01       3.439432665669e-01 
       1.263081777532e-02       1.616313576133e-01      -1.048691191846e+03      -1.049955556506e+03       1.646643984872e-01      -1.049451601069e+03       3.426855872912e-01       3.426855872912e-01 
       1.275956453531e-02       1.610398755052e-01      -1.066243281460e+03      -1.067551320696e+03       1.640618152168e-01      -1.067035443018e+03       3.414314319173e-01       3.414314319173e-01 
       1.288834748385e-02       1.604500530069e-01      -1.083870883293e+03      -1.085223655996e+03       1.634609226830e-01      -1.084695669820e+03       3.401807926868e-01       3.401807926868e-01 
       1.301716656614e-02       1.598618870337e-01      -1.101572351435e+03      -1.102970929431e+03       1.628617177433e-01      -1.102430646979e+03       3.389336630879e-01       3.389336630879e-01 
       1.314602175403e-02       1.592753738496e-01      -1.119346047528e+03      -1.120791517289e+03       1.622641965902e-01      -1.120238748993e+03       3.376900351586e-01       3.376900351586e-01 
       1.327491304530e-02       1.586905088759e-01      -1.137190339192e+03      -1.138683803355e+03       1.616683545565e-01      -1.138118357624e+03       3.364498991131e-01       3.364498991131e-01 
       1.340384046310e-02       1.581072880379e-01      -1.155103609946e+03      -1.156646188181e+03       1.610741874879e-01      -1.156067871259e+03       3.352132462322e-01       3.352132462322e-01 
       1.353280405535e-02       1.575257056841e-01      -1.173084244190e+03      -1.174677074022e+03       1.604816896237e-01      -1.174085689859e+03       3.339800644864e-01       3.339800644864e-01 
       1.366180389421e-02       1.569457571370e-01      -1.191130646588e+03      -1.192774883013e+03       1.598908561965e-01      -1.192170233322e+03       3.327503439725e-01       3.327503439725e-01 
       1.379084007563e-02       1.563674367959e-01      -1.209241228257e+03      -1.210938043218e+03       1.593016814991e-01      -1.210319927553e+03       3.315240729090e-01       3.315240729090e-01 
       1.391991271890e-02       1.557907387536e-01      -1.227414411600e+03      -1.229164992748e+03       1.587141595136e-01      -1.228533208691e+03       3.303012389499e-01       3.303012389499e-01 
       1.404902196625e-02       1.552156579223e-01      -1.245648639640e+03      -1.247454188475e+03       1.581282850588e-01      -1.246808531920e+03       3.290818315681e-01       3.290818315681e-01 
