# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:gr.fac. D_wCDM         6:gr.fac. D          
       3.252784118365e+13       7.143735140376e-25       1.424814399797e-08       2.282814039750e+21       3.074289481291e-14       5.075857493934e-17 
       3.230172908009e+13       7.244097475361e-25       1.434818841517e-08       2.251187112014e+21       3.095809507660e-14       5.147168215863e-17 
       3.207718875877e+13       7.345869800791e-25       1.445005182177e-08       2.219998355124e+21       3.117480174214e-14       5.219480782125e-17 
       3.185420929372e+13       7.449071925620e-25       1.455009623896e-08       2.189241698502e+21       3.139302535433e-14       5.292809267631e-17 
       3.163277983487e+13       7.553723937101e-25       1.465195964556e-08       2.158911155677e+21       3.161277653181e-14       5.367167945029e-17 
       3.141288960762e+13       7.659846204692e-25       1.475564204156e-08       2.129000823114e+21       3.183406596754e-14       5.442571287486e-17 
       3.119452791224e+13       7.767459384020e-25       1.485750544816e-08       2.099504879069e+21       3.205690442931e-14       5.519033971501e-17 
       3.097768412337e+13       7.876584420904e-25       1.496118784416e-08       2.070417582454e+21       3.228130276031e-14       5.596570879764e-17 
       3.076234768954e+13       7.987242555431e-25       1.506668922957e-08       2.041733271720e+21       3.250727187964e-14       5.675197104050e-17 
       3.054850813262e+13       8.099455326090e-25       1.517219061498e-08       2.013446363757e+21       3.273482278279e-14       5.754927948162e-17 
       3.033615504729e+13       8.213244573965e-25       1.527769200038e-08       1.985551352802e+21       3.296396654227e-14       5.835778930903e-17 
       3.012527810058e+13       8.328632446982e-25       1.538501237519e-08       1.958042809374e+21       3.319471430807e-14       5.917765789100e-17 
       2.991586703136e+13       8.445641404228e-25       1.549233275000e-08       1.930915379212e+21       3.342707730823e-14       6.000904480667e-17 
       2.970791164981e+13       8.564294220313e-25       1.560147211421e-08       1.904163782236e+21       3.366106684938e-14       6.085211187713e-17 
       2.950140183695e+13       8.684613989812e-25       1.571061147843e-08       1.877782811518e+21       3.389669431733e-14       6.170702319686e-17 
       2.929632754415e+13       8.806624131753e-25       1.582156983204e-08       1.851767332267e+21       3.413397117755e-14       6.257394516571e-17 
       2.909267879260e+13       8.930348394178e-25       1.593070919625e-08       1.826112280835e+21       3.437290897579e-14       6.345304652131e-17 
       2.889044567289e+13       9.055810858765e-25       1.604348653927e-08       1.800812663723e+21       3.461351933863e-14       6.434449837185e-17 
       2.868961834448e+13       9.183035945517e-25       1.615444489289e-08       1.775863556617e+21       3.485581397400e-14       6.524847422944e-17 
       2.849018703523e+13       9.312048417514e-25       1.626904122531e-08       1.751260103424e+21       3.509980467181e-14       6.616515004385e-17 
       2.829214204094e+13       9.442873385729e-25       1.638181856833e-08       1.726997515332e+21       3.534550330452e-14       6.709470423678e-17 
       2.809547372487e+13       9.575536313922e-25       1.649641490076e-08       1.703071069872e+21       3.559292182765e-14       6.803731773656e-17 
       2.790017251725e+13       9.710063023594e-25       1.661283022258e-08       1.679476110004e+21       3.584207228044e-14       6.899317401340e-17 
       2.770622891484e+13       9.846479699010e-25       1.672924554441e-08       1.656208043205e+21       3.609296678640e-14       6.996245911508e-17 
       2.751363348048e+13       9.984812892298e-25       1.684566086624e-08       1.633262340583e+21       3.634561755391e-14       7.094536170314e-17 
       2.732237684258e+13       1.012508952862e-24       1.696389517747e-08       1.610634535988e+21       3.660003687679e-14       7.194207308967e-17 
       2.713244969472e+13       1.026733691140e-24       1.708212948870e-08       1.588320225145e+21       3.685623713492e-14       7.295278727446e-17 
       2.694384279515e+13       1.041158272767e-24       1.720218278933e-08       1.566315064801e+21       3.711423079487e-14       7.397770098283e-17 
       2.675654696639e+13       1.055785505341e-24       1.732223608997e-08       1.544614771871e+21       3.737403041043e-14       7.501701370389e-17 
       2.657055309472e+13       1.070618235905e-24       1.744410838000e-08       1.523215122614e+21       3.763564862331e-14       7.607092772937e-17 
       2.638585212982e+13       1.085659351501e-24       1.756598067004e-08       1.502111951804e+21       3.789909816367e-14       7.713964819299e-17 
       2.620243508423e+13       1.100911779730e-24       1.768967194948e-08       1.481301151922e+21       3.816439185082e-14       7.822338311041e-17 
       2.602029303300e+13       1.116378489323e-24       1.781336322892e-08       1.460778672354e+21       3.843154259377e-14       7.932234341968e-17 
       2.583941711320e+13       1.132062490719e-24       1.793705450837e-08       1.440540518609e+21       3.870056339193e-14       8.043674302233e-17 
       2.565979852354e+13       1.147966836651e-24       1.806256477721e-08       1.420582751533e+21       3.897146733567e-14       8.156679882500e-17 
       2.548142852387e+13       1.164094622739e-24       1.818989403546e-08       1.400901486550e+21       3.924426760702e-14       8.271273078164e-17 
       2.530429843483e+13       1.180448988093e-24       1.831722329371e-08       1.381492892898e+21       3.951897748027e-14       8.387476193633e-17 
       2.512839963737e+13       1.197033115926e-24       1.844455255195e-08       1.362353192892e+21       3.979561032263e-14       8.505311846672e-17 
       2.495372357236e+13       1.213850234172e-24       1.857370079961e-08       1.343478661181e+21       4.007417959489e-14       8.624802972800e-17 
       2.478026174018e+13       1.230903616111e-24       1.870466803666e-08       1.324865624030e+21       4.035469885205e-14       8.745972829759e-17 
       2.460800570028e+13       1.248196581014e-24       1.883563527372e-08       1.306510458598e+21       4.063718174402e-14       8.868845002039e-17 
       2.443694707078e+13       1.265732494780e-24       1.896660251077e-08       1.288409592237e+21       4.092164201623e-14       8.993443405466e-17 
       2.426707752808e+13       1.283514770599e-24       1.909938873723e-08       1.270559501797e+21       4.120809351034e-14       9.119792291863e-17 
       2.409838880644e+13       1.301546869610e-24       1.923399395309e-08       1.252956712937e+21       4.149655016491e-14       9.247916253765e-17 
       2.393087269756e+13       1.319832301581e-24       1.936859916896e-08       1.235597799454e+21       4.178702601607e-14       9.377840229208e-17 
       2.376452105020e+13       1.338374625585e-24       1.950320438482e-08       1.218479382608e+21       4.207953519818e-14       9.509589506582e-17 
       2.359932576982e+13       1.357177450700e-24       1.963962859008e-08       1.201598130473e+21       4.237409194457e-14       9.643189729553e-17 
       2.343527881809e+13       1.376244436704e-24       1.977787178475e-08       1.184950757285e+21       4.267071058818e-14       9.778666902057e-17 
       2.327237221260e+13       1.395579294795e-24       1.991611497942e-08       1.168534022799e+21       4.296940556230e-14       9.916047393357e-17 
       2.311059802642e+13       1.415185788307e-24       2.005617716350e-08       1.152344731665e+21       4.327019140123e-14       1.005535794318e-16 
       2.294994838770e+13       1.435067733447e-24       2.019623934757e-08       1.136379732799e+21       4.357308274104e-14       1.019662566692e-16 
       2.279041547935e+13       1.455229000033e-24       2.033630153164e-08       1.120635918777e+21       4.387809432023e-14       1.033987806090e-16 
       2.263199153858e+13       1.475673512254e-24       2.048000169452e-08       1.105110225223e+21       4.418524098047e-14       1.048514300777e-16 
       2.247466885658e+13       1.496405249427e-24       2.062188286800e-08       1.089799630219e+21       4.449453766733e-14       1.063244878188e-16 
       2.231843977813e+13       1.517428246776e-24       2.076740202028e-08       1.074701153711e+21       4.480599943101e-14       1.078182405481e-16 
