# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  133       5.003892584760e-10       1.466434919735e-13      -5.548999403888e-12       7.693617008134e-16       4.991997564013e-12       8.315690307684e-13      -5.134437956699e-15 
  134       5.049112247894e-10       1.470594618192e-13      -5.599390678269e-12       7.816494910901e-16       4.887873448003e-12       8.180523345822e-13      -5.067679726437e-15 
  135       5.094295628066e-10       1.474110765910e-13      -5.647486743419e-12       7.940604545911e-16       4.786620763823e-12       8.048508478720e-13      -5.003065615007e-15 
  136       5.139431448552e-10       1.476980995316e-13      -5.693226191584e-12       8.065956337470e-16       4.688181633292e-12       7.919570392651e-13      -4.940277112632e-15 
  137       5.184507769828e-10       1.479203685952e-13      -5.736548434487e-12       8.192560881166e-16       4.592483249652e-12       7.793614839144e-13      -4.878968281590e-15 
  138       5.229511973916e-10       1.480777981379e-13      -5.777393741316e-12       8.320428945160e-16       4.499437513782e-12       7.670528170351e-13      -4.818765185743e-15 
  139       5.274430748734e-10       1.481703806078e-13      -5.815703276709e-12       8.449571471477e-16       4.408940670414e-12       7.550176874415e-13      -4.759265320075e-15 
  140       5.319250072434e-10       1.481981882352e-13      -5.851419138743e-12       8.579999577299e-16       4.320872944356e-12       7.432407110837e-13      -4.700037040224e-15 
  141       5.363955197752e-10       1.481613747228e-13      -5.884484396925e-12       8.711724556247e-16       4.235098176703e-12       7.317044245842e-13      -4.640618992012e-15 
  142       5.408530636350e-10       1.480601769356e-13      -5.914843130177e-12       8.844757879680e-16       4.151463461062e-12       7.203892387748e-13      -4.580519540981e-15 
  143       5.452960143164e-10       1.478949165916e-13      -5.942440464827e-12       8.979111197982e-16       4.069798779764e-12       7.092733922331e-13      -4.519216201926e-15 
  144       5.497228030733e-10       1.476660110249e-13      -5.967222932545e-12       9.114795170872e-16       3.989952652143e-12       6.983378844461e-13      -4.456270757387e-15 
  145       5.541323291292e-10       1.473740031041e-13      -5.989139503747e-12       9.251815825658e-16       3.911903808269e-12       6.875819215166e-13      -4.391688608393e-15 
  146       5.585235853195e-10       1.470195374903e-13      -6.008140728757e-12       9.390177840739e-16       3.835659884468e-12       6.770089119613e-13      -4.325593931385e-15 
  147       5.628955279482e-10       1.466033535555e-13      -6.024178466484e-12       9.529885678950e-16       3.761222244437e-12       6.666216061307e-13      -4.258117264006e-15 
  148       5.672470759860e-10       1.461262871248e-13      -6.037205924247e-12       9.670943582129e-16       3.688585822424e-12       6.564220783650e-13      -4.189395599514e-15 
  149       5.715771102699e-10       1.455892722191e-13      -6.047177697599e-12       9.813355565667e-16       3.617738966412e-12       6.464117091491e-13      -4.119572481191e-15 
  150       5.758844727015e-10       1.449933427970e-13      -6.054049810158e-12       9.957125413079e-16       3.548663281305e-12       6.365911672679e-13      -4.048798096760e-15 
  151       5.801679654464e-10       1.443396344971e-13      -6.057779753434e-12       1.010225667056e-15       3.481333472109e-12       6.269603919617e-13      -3.977229372792e-15 
  152       5.844263501325e-10       1.436293863809e-13      -6.058326526652e-12       1.024875264154e-15       3.415717187117e-12       6.175185750814e-13      -3.905030069121e-15 
  153       5.886583470492e-10       1.428639426744e-13      -6.055650676583e-12       1.039661638125e-15       3.351774861093e-12       6.082641432435e-13      -3.832370873256e-15 
  154       5.928626343462e-10       1.420447545111e-13      -6.049714337369e-12       1.054585069129e-15       3.289459558455e-12       5.991947399859e-13      -3.759429494793e-15 
  155       5.970378472324e-10       1.411733816736e-13      -6.040481270352e-12       1.069645811418e-15       3.228716816456e-12       5.903072079226e-13      -3.686390759826e-15 
  156       6.011825771745e-10       1.402514943366e-13      -6.027916903897e-12       1.084844092792e-15       3.169484488372e-12       5.815975708995e-13      -3.613446705360e-15 
  157       6.052953710963e-10       1.392808748089e-13      -6.011988373224e-12       1.100180114054e-15       3.111692586684e-12       5.730610161490e-13      -3.540796673725e-15 
  158       6.093747305771e-10       1.382634192757e-13      -5.992664560231e-12       1.115654048470e-15       3.055263126259e-12       5.646918764462e-13      -3.468647406983e-15 
  159       6.134191110509e-10       1.372011395412e-13      -5.969916133325e-12       1.131266041219e-15       3.000109967539e-12       5.564836122631e-13      -3.397213141345e-15 
  160       6.174269210051e-10       1.360961647704e-13      -5.943715587244e-12       1.147016208856e-15       2.946138659718e-12       5.484287939247e-13      -3.326715701582e-15 
  161       6.213966333193e-10       1.349506939945e-13      -5.914037165063e-12       1.162904649167e-15       2.893265793892e-12       5.405207277378e-13      -3.257343516051e-15 
  162       6.253271320278e-10       1.337668452477e-13      -5.880856532830e-12       1.178931472880e-15       2.841479315002e-12       5.327585334439e-13      -3.189124390530e-15 
  163       6.292173948341e-10       1.325467963564e-13      -5.844151152140e-12       1.195096773737e-15       2.790783268566e-12       5.251424837652e-13      -3.122041611497e-15 
  164       6.330663834456e-10       1.312928344810e-13      -5.803900434341e-12       1.211400617842e-15       2.741178703892e-12       5.176723906160e-13      -3.056073919761e-15 
  165       6.368730432890e-10       1.300073576315e-13      -5.760085779821e-12       1.227843043170e-15       2.692663607028e-12       5.103475948210e-13      -2.991195415884e-15 
  166       6.406363032245e-10       1.286928761833e-13      -5.712690617292e-12       1.244424059072e-15       2.645232833708e-12       5.031669558350e-13      -2.927375465583e-15 
  167       6.443550752612e-10       1.273520143927e-13      -5.661700443076e-12       1.261143645775e-15       2.598878042294e-12       4.961288414614e-13      -2.864578605145e-15 
  168       6.480282542711e-10       1.259875119134e-13      -5.607102860388e-12       1.278001753886e-15       2.553587626730e-12       4.892311175714e-13      -2.802764446838e-15 
  169       6.516547177049e-10       1.246022253114e-13      -5.548887618624e-12       1.294998303900e-15       2.509346649481e-12       4.824711378228e-13      -2.741887584323e-15 
  170       6.552333253060e-10       1.231991295816e-13      -5.487046652644e-12       1.312133185700e-15       2.466136774486e-12       4.758457333791e-13      -2.681897498061e-15 
  171       6.587629188256e-10       1.217813196629e-13      -5.421574122054e-12       1.329406258064e-15       2.423936200098e-12       4.693512026287e-13      -2.622738460729e-15 
  172       6.622423217375e-10       1.203520119548e-13      -5.352466450498e-12       1.346817348164e-15       2.382719592036e-12       4.629833009035e-13      -2.564349442628e-15 
  173       6.656703389530e-10       1.189145458322e-13      -5.279722364937e-12       1.364366251077e-15       2.342458016329e-12       4.567372301981e-13      -2.506664017093e-15 
  174       6.690457565354e-10       1.174723851619e-13      -5.203342934935e-12       1.382052729282e-15       2.303118872262e-12       4.506076288885e-13      -2.449610265909e-15 
  175       6.723673414151e-10       1.160291198185e-13      -5.123331611946e-12       1.399876512169e-15       2.264665825324e-12       4.445885614518e-13      -2.393110684716e-15 
  176       6.756338411042e-10       1.145884671993e-13      -5.039694268597e-12       1.417837295540e-15       2.227058740153e-12       4.386735081842e-13      -2.337082088426e-15 
