# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       3.775908022294e+00       6.992630210973e+03       1.103549608150e+00       9.612035963302e-06       9.797582057831e-01       9.417471109328e-06       5.646260681595e+00       1.213700459335e-12       9.739643560465e-05 
       3.881153568629e+00       6.914639169357e+03       1.097723201236e+00       9.987330091231e-06       9.790094883292e-01       9.777690922391e-06       5.802397966395e+00       1.234297850481e-12       1.029230815777e-04 
       3.984140904478e+00       6.840682596539e+03       1.093349133696e+00       1.037172769294e-05       9.782725506949e-01       1.014637650528e-05       5.951849700034e+00       1.253166989830e-12       1.084841540037e-04 
       4.085744906166e+00       6.769894919250e+03       1.090165148934e+00       1.076745479946e-05       9.775407240618e-01       1.052562556097e-05       6.095648673110e+00       1.270278242258e-12       1.141253226416e-04 
       4.186772408216e+00       6.701548754711e+03       1.087895093150e+00       1.117617051823e-05       9.768078123018e-01       1.091697067383e-05       6.234624448752e+00       1.285543088162e-12       1.198927891283e-04 
       4.287886207573e+00       6.635085661176e+03       1.086300725047e+00       1.159914262519e-05       9.760686494187e-01       1.132155947658e-05       6.369289992876e+00       1.298809497160e-12       1.258283289484e-04 
       4.389603833229e+00       6.570095319051e+03       1.085193913836e+00       1.203739892531e-05       9.753191150781e-01       1.174030526767e-05       6.499843471532e+00       1.309864987219e-12       1.319683475436e-04 
       4.492320322655e+00       6.506283286576e+03       1.084432892241e+00       1.249182857616e-05       9.745559746310e-01       1.217398617296e-05       6.626203991581e+00       1.318440058462e-12       1.383444357815e-04 
       4.596334928756e+00       6.443441138182e+03       1.083913751381e+00       1.296324533007e-05       9.737766887116e-01       1.262330611247e-05       6.748049909598e+00       1.324209732035e-12       1.449843502887e-04 
       4.701875026712e+00       6.381422442620e+03       1.083561672548e+00       1.345242690671e-05       9.729792412855e-01       1.308893212514e-05       6.864849497505e+00       1.326792712003e-12       1.519130129102e-04 
       4.809115675873e+00       6.320124504167e+03       1.083323396543e+00       1.396014050999e-05       9.721619976866e-01       1.357151808617e-05       6.975881710120e+00       1.325748179226e-12       1.591534020224e-04 
       4.918195146552e+00       6.259474796734e+03       1.083161218449e+00       1.448716087114e-05       9.713235906699e-01       1.407172111597e-05       7.080247426111e+00       1.320570230623e-12       1.667273203639e-04 
       5.029227329497e+00       6.199420891270e+03       1.083048350786e+00       1.503428508195e-05       9.704628279693e-01       1.459021481713e-05       7.176872117615e+00       1.310679760085e-12       1.746560703940e-04 
       5.142312152181e+00       6.139922788582e+03       1.082965360470e+00       1.560234763721e-05       9.695786131978e-01       1.512770258472e-05       7.264500673328e+00       1.295413251440e-12       1.829610931011e-04 
       5.257545306190e+00       6.080946663476e+03       1.082897355653e+00       1.619223940104e-05       9.686698700912e-01       1.568493443709e-05       7.341684459106e+00       1.274007351476e-12       1.916646555200e-04 
       5.375028968022e+00       6.022459026158e+03       1.082831588258e+00       1.680493585858e-05       9.677354566759e-01       1.626273227751e-05       7.406759585871e+00       1.245576937353e-12       2.007907207505e-04 
       5.494886032889e+00       5.964420114153e+03       1.082755096484e+00       1.744154383870e-05       9.667740487097e-01       1.686203195269e-05       7.457813312840e+00       1.209082156017e-12       2.103662285745e-04 
       5.617282200610e+00       5.906774736581e+03       1.082651887291e+00       1.810338413746e-05       9.657839558596e-01       1.748395794672e-05       7.492631448619e+00       1.163274976652e-12       2.204232131349e-04 
       5.742464288258e+00       5.849437396915e+03       1.082498856763e+00       1.879214581972e-05       9.647627994087e-01       1.812996320793e-05       7.508610706907e+00       1.106604079090e-12       2.310026127214e-04 
       5.870832819858e+00       5.792265068499e+03       1.082258932181e+00       1.951019272438e-05       9.637068972451e-01       1.880210729507e-05       7.502598635597e+00       1.037025499920e-12       2.421616472357e-04 
       6.003093630224e+00       5.735001298506e+03       1.081868103376e+00       2.026122969401e-05       9.626099727007e-01       1.950366176263e-05       7.470566093837e+00       9.515647515137e-13       2.539894379065e-04 
       6.140622505471e+00       5.677142587075e+03       1.081207592818e+00       2.105197537072e-05       9.614600377017e-01       2.024063303363e-05       7.406829702544e+00       8.451079883270e-13       2.666448526834e-04 
       6.286479569683e+00       5.617569559044e+03       1.080032052337e+00       2.189695697480e-05       9.602306926915e-01       2.102613016375e-05       7.301819601152e+00       7.079289109708e-13       2.804627106285e-04 
       6.446794274867e+00       5.554111426965e+03       1.077757218670e+00       2.282292328136e-05       9.588690705403e-01       2.188419523381e-05       7.136672784602e+00       5.467775069277e-13       2.961140789232e-04 
       6.605681365993e+00       5.493199600339e+03       1.073687438614e+00       2.371732713557e-05       9.575109609448e-01       2.270960069662e-05       6.919508780759e+00       3.273280145415e-13       3.120852626289e-04 
       6.796488017593e+00       5.422515774882e+03       1.064278276932e+00       2.470386167891e-05       9.558743526451e-01       2.361378779016e-05       6.573560448114e+00       6.475148126310e-15       3.318115859439e-04 
       7.038689728841e+00       5.336429643217e+03       1.037486082549e+00       2.560144214134e-05       9.538107219047e-01       2.441893001064e-05       5.983383360409e+00      -2.341070885527e-13       3.574353743517e-04 
       7.177383603239e+00       5.288858905591e+03       1.007847644080e+00       2.573565611367e-05       9.526482314529e-01       2.451702728196e-05       5.596430887736e+00      -3.792775042199e-13       3.722347966154e-04 
       7.263887073677e+00       5.259795370243e+03       9.809183103458e-01       2.558074607963e-05       9.519386053350e-01       2.435129974647e-05       5.337113792843e+00      -4.755636538304e-13       3.814025712393e-04 
       7.327729088990e+00       5.238635822489e+03       9.556572339129e-01       2.530853150014e-05       9.514264783477e-01       2.407920699733e-05       5.136672301627e+00      -5.454135557821e-13       3.880835152747e-04 
       7.378788256340e+00       5.221886793376e+03       9.316159852753e-01       2.497531532657e-05       9.510260646918e-01       2.375217584947e-05       4.971089238731e+00      -5.982632351495e-13       3.933457912373e-04 
       7.421598763184e+00       5.207960802350e+03       9.085565322444e-01       2.460665980849e-05       9.506978874375e-01       2.339349949682e-05       4.828934081155e+00      -6.391301954983e-13       3.976846275445e-04 
       7.458628498178e+00       5.196000388931e+03       8.863342858056e-01       2.421637144090e-05       9.504204182970e-01       2.301573387450e-05       4.703787967618e+00      -6.710522033761e-13       4.013716643407e-04 
