# Table of selected thermodynamics quantities
# The following notation is used in column titles:
#    x_e = electron ionization fraction
# -kappa = optical depth
# kappa' = Thomson scattering rate, prime denotes conformal time derivatives
#      g = kappa' e^-kappa = visibility function 
#     Tb = baryon temperature 
#  c_b^2 = baryon sound speed squared 
#  tau_d = baryon drag optical depth 
#    1:z                      2:conf. time [Mpc]       3:x_e                    4:kappa' [Mpc^-1]        5:exp(-kappa)            6:g [Mpc^-1]             7:Tb [K]                 8:c_b^2                  9:tau_d              
       2.161610019788e+00       8.624186239723e+03       1.165414832598e+00       4.448450449240e-06       9.905577517391e-01       4.406447075722e-06       3.061512517175e+00       7.415096714102e-13       3.187675246769e-05 
       2.219179625372e+00       8.546554292637e+03       1.165314338501e+00       4.611530958585e-06       9.902094169242e-01       4.566381381628e-06       3.153508294672e+00       7.618965000570e-13       3.355662858414e-05 
       2.277989589958e+00       8.469241839443e+03       1.165185122952e+00       4.781032419820e-06       9.898499096922e-01       4.732504508994e-06       3.247931652823e+00       7.826760342659e-13       3.532264131007e-05 
       2.338092959968e+00       8.392227037580e+03       1.165018194593e+00       4.957254084701e-06       9.894787416185e-01       4.905097533613e-06       3.344844253480e+00       8.038430300265e-13       3.717999566428e-05 
       2.399555271729e+00       8.315476264818e+03       1.164801499703e+00       5.140528269999e-06       9.890953372433e-01       5.084472542823e-06       3.444322954508e+00       8.253923496892e-13       3.913458389402e-05 
       2.462459368968e+00       8.238940083667e+03       1.164518787743e+00       5.331230853383e-06       9.886990012779e-01       5.270982620322e-06       3.546467105684e+00       8.473195521002e-13       4.119320966162e-05 
       2.526912277558e+00       8.162547600481e+03       1.164148016362e+00       5.529796329596e-06       9.882888715414e-01       5.465036174430e-06       3.651409068584e+00       8.696217413614e-13       4.336391186359e-05 
       2.593055095566e+00       8.086198519034e+03       1.163659088188e+00       5.736739596244e-06       9.878638508429e-01       5.667117668829e-06       3.759329434417e+00       8.922987524963e-13       4.565643762286e-05 
       2.661077325772e+00       8.009751896441e+03       1.163010607164e+00       5.952687677230e-06       9.874225077394e-01       5.877817794040e-06       3.870479104208e+00       9.153547652917e-13       4.808293968932e-05 
       2.731237763323e+00       7.933010179931e+03       1.162145182852e+00       6.178426042330e-06       9.869629311112e-01       6.097877476392e-06       3.985211379682e+00       9.388004011819e-13       5.065901354180e-05 
       2.803894920847e+00       7.855696695191e+03       1.160982579078e+00       6.414965773356e-06       9.864825172438e-01       6.328251584133e-06       4.104028378727e+00       9.626551960516e-13       5.340524453082e-05 
       2.879550561314e+00       7.777424891626e+03       1.159409722049e+00       6.663637875192e-06       9.859776636431e-01       6.570198103545e-06       4.227646573899e+00       9.869498004262e-13       5.634949173228e-05 
